BR-262, 5200 - Rio Branco;1; CARIACICA
JARDIM CAMBURI;2; VITORIA
JARDIM DA PENHA;3; VITORIA
ENSEADA DO SUÁ;4; VITORIA
FORTE SÃO JOÃO;5; VITORIA
SÃO CRISTOVÃO;6; VITORIA
SANTA MARTHA;7; VITORIA
JARDIM CAMBURI;8; VITORIA
PRAIA DO CANTO;9; VITORIA
CENTRO;10; VITORIA
ITARARE;11; VITORIA
JABOUR;12; VITORIA
GRANDE VITÓRIA;13; VITORIA
ALTO LAGE;14; CARIACICA
OPERARIOS;15; CARIACICA
SANTA CECILIA;16; CARIACICA
VILA CAPIXABA;17; CARIACICA
VERA CRUZ;18; CARIACICA
CAMPO VERDE;19; CARIACICA
ITACIBA;20; CARIACICA
TUCUM;21; CARIACICA
ITANGUA;22; CARIACICA
PORTO DE SANTANA;23; CARIACICA
NOVA ROSA PENHA;24; CARIACICA
ITAPEMIRIM;25; CARIACICA
JARDIM CAMPO GRANDE;26; CARIACICA
SÃO GERALDO;27; CARIACICA
CAMPO GRANDE;28; CARIACICA
CRUZEIRO DO SUL;29; CARIACICA
JARDIM AMÉRICA;30; CARIACICA
CARIACICA SEDE;31; CARIACICA
BOA SORTE;32; CARIACICA
SÃO FRANCISCO;33; CARIACICA
VALE DOS REIS;34; CARIACICA
SANTO ANDRÉ;35; CARIACICA
FLEXAL II;36; CARIACICA
SÃO FRANCISCO;37; CARIACICA
SANTA BARBARA;38; CARIACICA
N R DA PENHA;39; CARIACICA
SANTO ANDRÉ;40; CARIACICA
PORTO DE CARIACICA;41; CARIACICA
SÃO GERALDO;42; CARIACICA
CASTELO BRANCO;43; CARIACICA
PLANETA 2;44; CARIACICA
VILA GRAUNA;45; CARIACICA
ROSA DA PENHA;46; CARIACICA
TIRADENTE;47; CARIACICA
BOM BOSCO;48; CARIACICA
VALE DA ESPERANÇA;49; CARIACICA
ITAQUARI. BELA AURORA;50; CARIACICA
CRUZEIRO DO SUL;51; CARIACICA
NOVA ROSA DA PENHA;52; CARIACICA
FLEXAL I;53; CARIACICA
NOVA BRASÍLIA;54; CARIACICA
JUCU;55; VIANA
SANTA TEREZINHA;56; VIANA
VILA BETÂNIA;57; VIANA
PEDRA MULATA;58; VIANA
ARLINDO VILASQUE;59; VIANA
VILA NOVA;60; VIANA
UNIVERSAL;61; VIANA
CARIOCA;62; VIANA
PRIMAVERA;63; VIANA
MARCILIO DE NORONHA;64; VIANA
BOM PASTOR;65; VIANA
VILA BETHANIA;66; VIANA
IPANEMA;67; VIANA
PRAIA DAS GAIVOTAS;68; VILA VELHA
CENTRO;69; VILA VELHA
SANTOS DUMONT;70; VILA VELHA
JARDIM MARILÂNDIA;71; VILA VELHA
RIO MARINHO;72; VILA VELHA
RIVIEIRA DA BARRA;73; VILA VELHA
GLÓRIA;74; VILA VELHA
VALE ENCANTADO;75; VILA VELHA
PRAIA DA COSTA;76; VILA VELHA
JARDIM ASTECA;77; VILA VELHA
TERRA VERMELHA;78; VILA VELHA
PRAIA DE ITAPARICA;79; VILA VELHA
ALECRIM;80; VILA VELHA
DIVINO ESPIRITO SANTO;81; VILA VELHA
BOA VISTA;82; VILA VELHA
SANTA MONICA;83; VILA VELHA
ILHA DOS BENTOS;84; VILA VELHA
NOVA ALMEIDA;85; SERRA
BOULEVARD LAGOA;86; SERRA
PARQUE JACARAIPE;87; SERRA
CENTRAL DE CARAPINA;88; SERRA
JARDIM ATLANTICO;89; SERRA
LARANJEIRAS VELHAS;90; SERRA
CIDADE POMAR;91; SERRA
PRAIA CARAPEUS;92; SERRA
COLINA LARANJEIRA;93; SERRA
RESIDENCIAL JACARAI;94; SERRA
JARDIM CARAPINA;95; SERRA
CARAPINA GRANDE;96; SERRA
NOVO HORIZONTE;97; SERRA
PLANALTO SERRANO;98; SERRA
VALPARAISO;99; SERRA
CIVIT II;100; SERRA
ITAPEBUSSU;101; GUARAPARI
RECANTO DA SEREIA;102; GUARAPARI
SÃO JUDAS TADEU;103; GUARAPARI
MEAIPE;104; GUARAPARI
BELA VISTA;105; COLATINA
CENTRO;106; COLATINA
NOSSA SENHORA DA APARECIDA;107; COLATINA
CENTRO;108; MARECHAL FLORIANO
TREVO SANTA MARIA;109; MARECHAL FLORIANO
PEDRA AZUL;110; DOMINGOS MARTINS
ESPLANADA;111; VENDA NOVA
